Newspaper,Language,Circulation (thousands)
Yomiuri Shimbun / Japan ,Japanese,9101
Dainik Jagran / India ,Hindi,6866
Asahi Shimbun / Japan ,Japanese,6480
Dainik Bhaskar / India ,Hindi,3166
Reference News / China ,Chinese,3073
Amar Ujala / India ,Hindi,2935
The Times of India / India ,English,2836
The Nikkei / Japan ,Japanese,2729
People's Daily / China ,Chinese,2603
USA Today / USA ,English,2600
Chunichi Shimbun / Japan ,Japanese,2452
Hindustan Dainik / India ,Hindi,2410
Malayala Manorama / India ,Malayalam,2343
The Wall Street Journal / USA ,English,2379
Bild / Germany ,German,2220
The New York Times / USA ,English,2134
Guangzhou Daily / China ,Chinese,1880
Nanfang Daily / China ,Chinese,1853
Rajasthan Patrika / India ,Hindi,1812
